title,keywords,cleaned_genre,semantic_density,emotion_score,entropy,cliche_score
족보(영화),"설진영, 과장, 창씨개명, 자신, 족보, 다니, 설득, 설, 조선인, 총력",드라마,0.65940255,0.0,0.1315172022331585,41.54
에드 우드(영화),"우드, 에드 우드, 후, 벨라 루고시, 촬영, 캐시, 때, 친구, 돈",코미디,0.65365565,0.0,0.1536745313951467,41.52
운디네(영화),"역사학자, 잠수사, 박물관, 산업, 관광, 앞, 가이드, 절망, 운디네, 실연",드라마,0.5201149,0.3333333322222222,0.1315172022331585,41.51
마더(2020년 영화),"슈헤, 밑바닥, 세상, 인생, 불안, 없, 아키코, 아들, 사랑, 품",기타,0.5196146,0.3333333322222222,0.1315172022331585,41.48
미믹(영화),"수잔, 주다스, 피터, 괴물, 지하철, 발견, 레너드, 사람, 후, 엘리베이터",공포,0.65842164,0.0,0.1315172022331585,41.48
폐교(영화),"친구, 유라, 인, 석, 폐교, 오랜만, 이제, 자신, 곳, 기억",공포,0.65805405,0.0,0.1315172022331585,41.46
붉은 사막(영화),"공장, 남편, 코라도, 노이로제, 고통, 모니카 비티, 정신, 분, 관계, 문제",드라마,0.5489208,0.303030302020202,0.062765440682787,41.45
해빙(영화),"살인, 승훈, 정, 병원, 노인, 후, 사건, 수면, 여자, 시체",스릴러,0.65626407,0.0,0.1315172022331585,41.35
스쿠프(영화),"피터, 특종, 기자, 산드라, 비밀, 매력, 상류사회, 로맨스, 완벽, 최고",기타,0.5171286,0.3333333322222222,0.1315172022331585,41.33
예언자(영화),"감옥, 자신, 임무, 분, 보스, 말, 두목, 루치아노, 갱, 닐스",범죄,0.655284,0.0,0.1315172022331585,41.29
동감(영화),"학교, 같, 교신, 소은, 앞, 시계탑, 시간, 약속, 인, 날",드라마,0.6550665,0.0,0.1315172022331585,41.28
보디가드(미국 영화),"레이첼, 프랭크, 경호, 무대, 청부, 니키, 언니, 크, 후, 팬",로맨스,0.6538456,0.0,0.1315172022331585,41.2
DISTANCE(영화),"사건, 교단, 기일, 유족, 가해자, 여름, 방주, 살인, 차별, 자살",드라마,0.6537066,0.0,0.1315172022331585,41.2
플래툰(영화),"반즈, 크리스, 어스, 일라이, 병사, 베트콩, 마을, 울프, 중위, 사람",드라마,0.6530216,0.0,0.1315172022331585,41.15
슈퍼 에이트(영화),"마을, 기차, 선, 열차, 단편, 좀비, 군대, 현상, 기회",모험,0.6339965,0.0,0.2075187486729242,41.15
Pride(2004년 영화),"수키, 라이너스, 다크, 자신, 엄마, 무리, 사자, 해리, 강, 방랑자",기타,0.65290403,0.0,0.1315172022331585,41.15
Ready or Not(영화),"게임, 가족, 그레이스, 숨바꼭질, 집안, 결혼, 날, 술래, 저택, 밤",공포,0.6526226,0.0,0.1315172022331585,41.13
의천도룡기(영화),"장, 조민, 배우, 역, 무기, 의천도룡기, 많, 판, 있",기타,0.6317993,0.0,0.2075187486729242,41.02
사랑니(영화),"첫사랑, 인영, 사랑, 학원, 자신, 이석, 정우, 여자, 영, 강사",드라마,0.5109458,0.3333333322222222,0.1315172022331585,40.96
우리들(영화),"선, 지아, 비밀, 혼자, 여름, 마음, 날, 교실, 친구, 전학생",드라마,0.5108819,0.3333333322222222,0.1315172022331585,40.96
시동(영화),"반항아, 거석이형, 정해인, 마동석, 상필, 어설프, 충만, 택일, 의욕, 박정민",코미디,0.6497047,0.0,0.1315172022331585,40.96
스네이크 아이즈(1998년 영화),"릭, 중령, 케빈, 던, 국방, 장관, 암살, 내부고발자, 경기, 선수",범죄,0.64944476,0.0,0.1315172022331585,40.94
타투(영화),"고통, 수나, 분, 과거, 몸부림, 문신, 날, 메두사, 살인, 상처",스릴러,0.5102313,0.3333333322222222,0.1315172022331585,40.92
써니(영화),"친구, 나미, 춘화, 할머니, 수지, 전, 주둥박, 임나미, 없, 씨부랄",드라마,0.6481035,0.0,0.1315172022331585,40.86
공수도(영화),"정의, 공수도, 아빠, 소녀, 폭력, 채영, 생활, 염증, 없, 순수",기타,0.64805067,0.0,0.1315172022331585,40.86
콘크리트(영화),"삽입, 장면, 질, 구, 코, 입장, 이름, 미사키, 알몸",기타,0.6286636,0.0,0.2075187486729242,40.83
마다가스카의 펭귄(영화),"펭귄, 프라이빗, 스키퍼, 데이브, 윈드, 노스, 리코, 비밀, 코왈스키, 말",애니메이션,0.50809306,0.3333333322222222,0.1315172022331585,40.79
고르고(영화),"영국, 새끼, 박살, 어미, 나중, 킹콩, 괴수, 영향, 고지, 전체",기타,0.64605933,0.0,0.1315172022331585,40.74
비스트(2019년 영화),"살인, 수, 범인, 형사, 사건, 살인마, 대가, 은폐, 마약, 시작",스릴러,0.6453307,0.0,0.1315172022331585,40.69
장화신은 고양이(영화),"푸스, 험티, 콩, 말, 자신, 키티, 리카르도, 구름, 때, 위",코미디,0.64510816,0.0,0.1315172022331585,40.68
검객(영화),"조선, 태율, 구루타이, 딸, 최고, 검객, 자비, 자취, 혼란, 극",액션,0.6449103,0.0,0.1315172022331585,40.67
버닝(미국 영화),"아이, 장, 캠핑, 이야기, 살인마, 관리인, 가위, 몸, 학살, 시작",기타,0.6421137,0.0,0.1315172022331585,40.5
이벤트 호라이즌(영화),"이벤트 호라이즌, 대원, 지옥, 말, 위어, 호, 우주선, 박사, 선장, 구조",SF,0.6579705,0.0,0.062765440682787,40.42
네고시에이터(영화),"로먼, 경찰, 세이비언, 인질, 자신, 진입, 니바움, 프로스트, 상황, 세이비",스릴러,0.64010763,0.0,0.1315172022331585,40.38
퀵(영화),"폭탄, 퀵서비스, 헬멧, 질주, 배달, 시속, 목숨, 아로, 전화, 복판",액션,0.63967955,0.0,0.1315172022331585,40.35
재밌는 영화,"파, 천군, 월드컵, 공동, 패러디, 한일, 방해, 개최, 공작금, 실수",코미디,0.6388366,0.0,0.1315172022331585,40.3
흥부(영화),"조혁, 흥부, 조선, 형, 백성, 형제, 조항리, 놀부, 흥부전, 이용",기타,0.63879156,0.0,0.1315172022331585,40.3
파퍼씨네 펭귄들(영화)/줄거리,"파퍼, 펭귄, 아버지, 톰, 정어리, 배, 태번, 처음, 집, 동물원",기타,0.63876843,0.0,0.1315172022331585,40.3
관상(영화),"사람, 관상, 얼굴, 한양, 조선, 운명, 등용, 인재, 궁, 사헌부",드라마,0.49951863,0.3333333322222222,0.1315172022331585,40.28
언더월드(영화),"늑대인간, 뱀파이어, 조상, 같, 전투, 루시, 빅터, 안, 해당, 제외",기타,0.63765824,0.0,0.1315172022331585,40.23
봉이 김선달(영화),"사기, 판, 최고, 조선, 대동강, 전문, 당대, 김선달, 천재, 인생",코미디,0.6374431,0.0,0.1315172022331585,40.22
스카이라인(영화),"외계인, 주인공, 애인, 뇌, 빛, 적출, 우주선, 등장, 부품, 미군",공포,0.6373784,0.0,0.1315172022331585,40.22
하피(영화),"동아리, 촬영, 멤버, 수연, 시작, 공포, 속, 회원, 갈등",코미디,0.61778104,0.0,0.2075187486729242,40.18
월 스트리트(영화),"게코, 루디, 딸, 고든 게코, 연인, 자살, 위니, 교도소, 위기, 예고",범죄,0.6309514,0.0,0.1536745313951467,40.16
히트맨(영화),"카티아, 자신, 에이전트, 말, 존, 리트벤코, 신디케이트, 총, 헬기, 소장",액션,0.6361745,0.0,0.1315172022331585,40.14
고속도로(영화),"미옥, 트럭, 고속도로, 배우, 기사, 일행, 결혼식, 진영, 중간, 미",기타,0.6361636,0.0,0.1315172022331585,40.14
라이프(영화),"캘빈, 조던, 휴, 미란다, 지구, 우주, 없, 쇼, 로이, 소유즈",스릴러,0.6355155,0.0,0.1315172022331585,40.1
거울 나라의 앨리스(영화),"앨리스, 여왕, 모자, 장수, 시간, 붉, 말, 자신, 과거, 가족",모험,0.63540226,0.0,0.1315172022331585,40.1
모노폴리(한국 영화),"존, 경호, 앨리, 없, 제안, 국정원, 계좌, 단서, 인출, 범죄",범죄,0.49628136,0.3333333322222222,0.1315172022331585,40.08
써클(영화),"시체, 명구, 연인, 홍, 성기, 산, 표본, 수사, 영아, 여인",기타,0.6350261,0.0,0.1315172022331585,40.07
휴게소(영화),"경수, 지호, 여행, 운영, 휴게소, 약혼녀, 밤, 곳, 인간, 가족",공포,0.6346588,0.0,0.1315172022331585,40.05
터미네이터(영화),"사라, 카일, 때, 코너, 다리, 존, 터미네이터, 기계, 폭발, 왼쪽",기타,0.6335765,0.0,0.1315172022331585,39.99
미녀는 괴로워(한국 영화),"마음, 가수, 밤, 한나, 사랑, 유일, 분, 아미, 없, 눈",코미디,0.49443907,0.3333333322222222,0.1315172022331585,39.97
7월 22일(영화),"사건, 악랄, 극, 국민, 소년, 사람, 가족, 테러범, 테러, 충격",스릴러,0.4940362,0.3333333322222222,0.1315172022331585,39.95
화장(영화),"오, 상무, 아내, 화장품, 부하, 직원, 남자, 사이, 이야기, 투병",기타,0.6326501,0.0,0.1315172022331585,39.93
란(영화),"성, 히데토라, 아버지, 카에데, 아들, 영주, 가문, 타로, 지로, 사부로",기타,0.6318422,0.0,0.1315172022331585,39.88
